iter	Passed	Remaining
0	149	149752
1	153	76483
2	156	52167
3	161	40310
4	165	33030
5	169	28051
6	174	24817
7	178	22140
8	181	20017
9	185	18355
10	188	16991
11	192	15849
12	196	14913
13	200	14152
14	204	13444
15	208	12839
16	215	12446
17	219	11990
18	223	11526
19	226	11116
20	230	10734
21	234	10403
22	236	10029
23	238	9682
24	240	9367
25	242	9081
26	244	8804
27	246	8542
28	247	8294
29	249	8061
30	250	7835
31	251	7622
32	253	7420
33	254	7231
34	255	7054
35	257	6888
36	258	6733
37	259	6576
38	260	6425
39	261	6282
40	262	6146
41	263	6018
42	264	5895
43	265	5778
44	267	5666
45	268	5558
46	269	5455
47	270	5358
48	271	5267
49	272	5179
50	273	5092
51	274	5009
52	275	4929
53	277	4852
54	278	4779
55	279	4707
56	280	4636
57	281	4568
58	282	4504
59	283	4442
60	284	4382
61	285	4325
62	286	4268
63	288	4213
64	289	4158
65	290	4106
66	291	4054
67	292	4007
68	293	3959
69	294	3912
70	295	3866
71	296	3822
72	297	3778
73	298	3735
74	299	3693
75	300	3654
76	337	4041
77	338	4003
78	340	3965
79	341	3928
80	343	3892
81	344	3856
82	345	3813
83	346	3780
84	348	3747
85	350	3729
86	351	3693
87	352	3656
88	353	3621
89	354	3586
90	355	3552
91	356	3522
92	357	3489
93	358	3457
94	359	3427
95	360	3398
96	361	3369
97	363	3341
98	366	3331
99	367	3306
100	368	3280
101	369	3254
102	370	3229
103	371	3204
104	373	3180
105	374	3156
106	375	3132
107	376	3110
108	377	3086
109	378	3064
110	380	3043
111	381	3021
112	382	2998
113	382	2974
114	383	2951
115	384	2928
116	384	2904
117	385	2882
118	386	2860
119	387	2838
120	387	2817
121	388	2796
122	389	2775
123	390	2755
124	390	2735
125	391	2716
126	392	2696
127	393	2677
128	394	2660
129	395	2643
130	396	2627
131	396	2609
132	397	2591
133	398	2574
134	399	2557
135	399	2540
136	400	2523
137	401	2507
138	402	2491
139	403	2476
140	403	2460
141	404	2443
142	405	2428
143	406	2413
144	406	2398
145	407	2384
146	408	2370
147	409	2358
148	410	2346
149	411	2334
150	412	2321
151	413	2308
152	414	2295
153	415	2282
154	416	2269
155	417	2256
156	417	2243
157	418	2230
158	419	2218
159	420	2205
160	420	2192
161	421	2179
162	422	2167
163	422	2156
164	423	2145
165	424	2134
166	425	2123
167	426	2112
168	427	2101
169	428	2090
170	428	2079
171	429	2069
172	430	2058
173	431	2048
174	432	2037
175	433	2027
